№ п/п;Столбец2;Индекс;Бренд;Страна;Код УКТ ЗЕД;Кол-во;ЦСДО;Вес нетто, кг.;Пошлина, %;ПД/ПП;СУВСДО;СУ, USD;СБ, ГРН;СУ, ГРН;Сумма по документу;Столбец1;% вес;% деньги;Транспорт З, ГРН;Страховка З, ГРН;Факт стоим. ГРН;Там. Стоим. ГРН;Транспорт Л, ГРН;Разное Б, ГРН;Остальное У, ГРН;ФактПошлина Б, ГРН;ФактНДС У, ГРН;ТамПошлина Б, ГРН;ТамНДС У, ГРН
34;Салон;T1415008C;TOKO;CN;8421392000;800;1,14;240,00;0,00%;ПД;1,4395;1,4395;31,6707;37,9838;912,0000;filter;1,09%;1,52%;580,5630;49,8620;23 635,0172;24 265,4422;354,0018;170,8849;197,4362;0,0000;4 727,0034;0,0000;4 853,0884
35;Салон;T1415013C;TOKO;CN;5911909090;1500;1,52;524,00;5,00%;ПД;2,0042;2,0042;44,0463;52,8425;2 280,0000;cartridge;2,39%;3,81%;1267,5625;124,6551;59 087,5429;60 479,7605;772,9040;427,2122;493,5906;2 954,3771;12 408,3840;3 023,9880;12 700,7497
36;Салон;T1415013CP;TOKO;CN;5911909090;1500;1,03;524,00;5,00%;ПД;1,3778;1,3778;30,2993;36,3171;1 545,0000;cartridge;2,39%;2,58%;1267,5625;84,4702;40 039,5850;41 391,6177;772,9040;289,4925;334,4726;2 001,9793;8 408,3129;2 069,5809;8 692,2397
37;Салон;T1442023C;TOKO;CN;5911909090;200;1,67;70,00;5,00%;ПД;2,1961;2,1961;48,2572;57,9043;334,0000;cartridge;0,32%;0,56%;169,3309;18,2609;8 655,8067;8 843,3985;103,2505;62,5828;72,3067;432,7903;1 817,7194;442,1699;1 857,1137
38;Колодки;T2103016L;TOKO;CN;8708309198;200;4,00;300,00;10,00%;ПД;5,6246;5,6246;123,6182;148,1362;800,0000;;1,37%;1,34%;725,7037;43,7386;20 732,4712;21 501,9135;442,5023;149,8990;173,1897;2 073,2471;4 561,1437;2 150,1914;4 730,4210
39;Колодки;T2103021L;TOKO;CN;8708309198;60;3,94;120,00;10,00%;ПД;5,6344;5,6344;123,9249;148,3533;236,4000;;0,55%;0,40%;290,2815;12,9248;6 126,4452;6 429,6515;177,0009;44,2952;51,1775;612,6445;1 347,8180;642,9651;1 414,5233
40;Колодки;T2111049L;TOKO;CN;8708309198;50;3,75;72,50;10,00%;ПД;5,2810;5,2810;116,0730;139,0819;187,5000;;0,33%;0,31%;175,3784;10,2512;4 859,1729;5 044,8026;106,9380;35,1326;40,5913;485,9173;1 069,0180;504,4803;1 109,8566
41;Колодки;T2111067L;TOKO;CN;8708309198;80;4,33;152,00;10,00%;ПД;6,1385;6,1385;134,9592;161,6470;346,4000;;0,69%;0,58%;367,6899;18,9388;8 977,1600;9 363,7887;224,2011;64,9063;74,9911;897,7160;1 974,9752;936,3789;2 060,0335
42;Колодки;T2111068L;TOKO;CN;8708309198;120;4,54;228,00;10,00%;ПД;6,4196;6,4196;141,1235;169,0566;544,8000;;1,04%;0,91%;551,5348;29,7860;14 118,8129;14 700,1337;336,3017;102,0812;117,9422;1 411,8813;3 106,1388;1 470,0134;3 234,0294
43;Колодки;T2112038L;TOKO;CN;8708309198;150;3,36;180,00;10,00%;ПД;4,7139;4,7139;103,5911;124,1543;504,0000;;0,82%;0,84%;435,4222;27,5553;13 061,4569;13 524,4344;265,5014;94,4364;109,1095;1 306,1457;2 873,5205;1 352,4434;2 975,3756
44;Колодки;T2112052L;TOKO;CN;8708309198;150;3,58;247,50;10,00%;ПД;5,0895;5,0895;111,9101;134,0174;537,0000;;1,13%;0,90%;598,7056;29,3595;13 916,6713;14 544,7364;365,0644;100,6197;116,2536;1 391,6671;3 061,6677;1 454,4736;3 199,8420
45;Колодки;T2112053L;TOKO;CN;8708309198;140;4,31;182,00;10,00%;ПД;6,0036;6,0036;131,8906;158,1405;603,4000;;0,83%;1,01%;440,2603;32,9899;15 637,4664;16 110,7165;268,4514;113,0613;130,6283;1 563,7466;3 440,2426;1 611,0717;3 544,3576
46;Колодки;T2112055L;TOKO;CN;8708309198;180;4,54;306,00;10,00%;ПД;6,3835;6,3835;140,2963;168,1229;817,2000;;1,39%;1,37%;740,2178;44,6790;21 178,2193;21 963,1161;451,3523;153,1218;176,9132;2 117,8219;4 659,2083;2 196,3116;4 831,8855
47;Колодки;T2112061L;TOKO;CN;8708309198;80;4,04;144,00;10,00%;ПД;5,7323;5,7323;126,0331;150,9480;323,2000;;0,66%;0,54%;348,3378;17,6704;8 375,9184;8 741,9266;212,4011;60,5592;69,9686;837,5918;1 842,7020;874,1927;1 923,2238
48;Колодки;T2112063L;TOKO;CN;8708309198;60;3,73;69,00;10,00%;ПД;5,2001;5,2001;114,2451;136,9758;223,8000;;0,31%;0,37%;166,9119;12,2359;5 799,9088;5 979,0566;101,7755;41,9342;48,4498;579,9909;1 275,9799;597,9057;1 315,3924
49;Колодки;T2112073L;TOKO;CN;8708309198;80;4,32;136,00;10,00%;ПД;6,0890;6,0890;133,8385;160,3606;345,6000;;0,62%;0,58%;328,9857;18,8951;8 956,4276;9 304,3083;200,6010;64,7564;74,8179;895,6428;1 970,4141;930,4308;2 046,9478
50;Колодки;T2112074L;TOKO;CN;8708309198;100;4,13;150,00;10,00%;ПД;5,7987;5,7987;127,4341;152,7231;413,0000;;0,68%;0,69%;362,8519;22,5801;10 703,1383;11 088,5702;221,2511;77,3854;89,4092;1 070,3138;2 354,6904;1 108,8570;2 439,4854
51;Колодки;T2113000L;TOKO;CN;8708309198;150;3,72;210,00;10,00%;ПД;5,2318;5,2318;114,9856;137,7900;558,0000;;0,96%;0,93%;507,9926;30,5077;14 460,8987;14 999,3990;309,7516;104,5546;120,7998;1 446,0899;3 181,3977;1 499,9399;3 299,8678
52;Колодки;T2113030L;TOKO;CN;8708309198;80;3,31;104,00;10,00%;ПД;4,6650;4,6650;102,5370;122,8570;264,8000;;0,47%;0,44%;251,5773;14,4775;6 862,4480;7 128,5027;153,4008;49,6166;57,3258;686,2448;1 509,7386;712,8503;1 568,2706
53;Колодки;T2114011L;TOKO;CN;8708309198;50;3,41;60,00;10,00%;ПД;4,7808;4,7808;105,0588;125,9185;170,5000;;0,27%;0,29%;145,1407;9,3218;4 418,6079;4 573,0705;88,5005;31,9472;36,9110;441,8608;972,0937;457,3070;1 006,0755
54;Колодки;T2114044L;TOKO;CN;8708309198;60;3,61;90,00;10,00%;ПД;5,1026;5,1026;112,1703;134,3757;216,6000;;0,41%;0,36%;217,7111;11,8422;5 613,3166;5 842,8699;132,7507;40,5852;46,8911;561,3317;1 234,9296;584,2870;1 285,4314
